0.00 17.00 speaker0  Mmm, what happened to me? Damn, my arm hurts like a son of a gun.
3442.14 3483.38 speaker2  She's a cool kid. But yeah, that's one of the questions, I guess. And it's kind of a tier based system. There's the Single Deuce, The Double Deuce, which is a double cheeseburger with a medium shake. And then the Mega Deuce, which is eight patties. extra large milkshake. And the slogan is, it's so good,
3482.06 3498.02 speaker3  That is, it's a good slogan. It's catchy.
3496.42 3511.38 speaker2  He really wasn't. He was not. He was just an alderman, but all the alderman.
3509.62 3520.66 speaker0  We noticed that, yeah, but we did notice that it was all the alderman, we're all the men. And so we smashed the patriarchy tonight, boys.
3519.26 3536.10 speaker2  And killed everyone else down there.
3534.24 3540.54 speaker0  She would have died either way.
3538.02 3584.88 speaker2  You didn't really go around spraying the purple stuff on her or on Joe, for that matter. You probably would have realized Joe was actually completely screwed Yeah, stripped down and started like spraying your bodies. You would have seen the same incision marks kind of on Billy Ray's arms. Oh shit, the one person whose arms we didn't look at. She was just recently pregnant with Billy Ray about a week before he went on his crime spree. She didn't even know, she was abducted. They took out her uterus with the baby, gave her this, it's called proto-matter, the goo, then put something, you don't know.
3582.28 3588.00 speaker0  like coughed and died slowly? Yeah.
3585.72 3607.42 speaker2  Can you choose like one child out of the town and describe that in detail for us? Well, I can tell you about, so a lot of people had experiments, right? So the little kids that you met at the reservoir that were pounding seven and a half pieces a piece, they had work done on their livers. They had super livers.
3606.02 3629.30 speaker0  Oh wow. This was such a blast and thank you for sticking around for this extended episode.
3626.14 3633.18 speaker2  because we could have just thoroughly harassed citizens for presumably. So many more.
3631.70 3637.72 speaker0  If we didn't even touch the bowling alley, we could have like.
3636.88 3643.50 speaker3  No, not at all.
3640.32 3647.80 speaker2  largely because Zach gave me very few options as far as things he has not looked at before. That's my way.
3646.96 3651.22 speaker0  I liked it.
3649.48 3664.74 speaker2  It's only like a dozen pages. It's something you could hypothetically do with efficient players who stay on track for things.
3661.86 3673.94 speaker0  David, those are, that's just an urban legend. Oh, those players don't exist. I think they just play different games, maybe.
3671.68 3680.04 speaker2  But no, thank you very much for having me. This was a fun crossover event. Like I said, I love you guys' stuff.
3677.90 3681.48 speaker0  Yeah, the pleasure was all ours, completely.
3680.04 3707.60 speaker2  Thank you for all of this. Thanks for everyone, I guess, who listened and put up with me for the last five episodes. Blessed with your presence. Those people who know me from elsewhere, who followed along, hopefully I haven't totally ruined Delta Green for you either.
3705.78 3709.76 speaker0  You've got plenty to catch up on.
3707.60 3715.52 speaker2  You can see where they cut their teeth by harassing random civilians.
3712.48 3783.14 speaker0  Yep, it's kind of our trademark. Just authority figures abusing that power for petty reasons and little gain. Okay, well, David, we're gonna open the cage now. He's scampering. He's scampering. Oh, wow. When I make a scamper, that's what I think of. There's a little dust trail. His calves are good. He did not want to be here. I can't get high. I can't get high.
3781.14 3846.58 speaker1  Does anybody know why?
3841.58 3901.58 speaker3  And I can't help the feeling I'll always be at the bottom. I think I'm allergic or something. Better go on with nothing so I won't get high. No, I won't get high. By all means, do it if it helps. For me, it makes my brain melt easy. Does anybody know why? I can't get high. Thank you for watching.
