0.00 11.40 speaker0  Well, babies, I cannot believe I finally arrived at Ocean City, New Jersey, and it's 2016?
3998.10 4035.14 speaker3  Huffington. Fartington Publishers. Third edition, 1976. Yeah. That's the same one that Alvin Chilton had upstairs. Did you take this from his room? Can I humint that? Yeah, you can humint that.
4029.78 4047.70 speaker2  With his success, you see that he seems to be telling the truth. He did get it from Arvin Chilton.
4045.54 4054.58 speaker3  He's like, I didn't take it. Is Arvin's crime spree public knowledge? Yes. And he's identified as a suspect. Arvin. Yeah.
4053.86 4064.26 speaker2  Yes. Okay.
4063.06 4068.98 speaker0  He wouldn't have done it. He was a good guy.
4066.74 4077.14 speaker3  We're trying to figure out who did these horrible things. Now, when did Arvin lend you that book?
4075.14 4081.30 speaker2  You know, it's a...
4080.10 4102.18 speaker0  It fails so much.
4101.46 4117.46 speaker2  I had a fall.
4114.34 4153.46 speaker0  He was getting ready to go to Starbucks. That's where he worked. That's where he worked. He wouldn't have done it. Agent Asparrow, please. You have to try some of these cold cuts or these olives. Aren't they good?
4151.46 4157.30 speaker3  They're like old, which Elwood loves.
4156.50 4165.78 speaker1  They taste old. That's the way I like them. Good.
4161.22 4195.06 speaker3  Kevin, ever since he played football, has been very in tune with his body. Does he feel sick or weird or anything from the half board of meat that he's eaten?
4186.74 4207.22 speaker2  It is not reacting in your tum tum the way that a nice shock bowl would feel in your tummy.
4206.26 4215.94 speaker0  I'm sorry. I must have just forgotten when I bought it. I would never.
4214.82 4219.22 speaker3  Is that what you're trying to do?
4217.86 4222.34 speaker2  No, no.
4219.22 4226.50 speaker3  Kevin comes back over and sits down and grabs another hand. Like without thinking, just grabs another handful of meat.
4224.98 4246.02 speaker1  Elwood tries to grab his hand. He's holding, uh, Elwood's holding his hand out in front of Kevin. Spit it out.
4243.94 4252.18 speaker3  Kevin spits out his food into Elwood's hand. Clarissa is watching that just like wide-eyed.
4249.38 4254.50 speaker1  Elwood takes it and puts it back onto the charcuterie board.
4253.70 4257.22 speaker0  Now, where were we?
4255.14 4271.70 speaker3  Yeah, uh, where were we?
4265.54 4295.62 speaker2  It's clear that he's like a little freak in this moment and he's just like super into it. The vibes are there. The aura around both of them is similar. Similar, yeah.
4294.18 4309.78 speaker3  Is there a reason he lent it to you?
4306.58 4440.90 speaker0  But the drowning's been just fine. And when my ears pop and the shell shock of this pit stop frees my mind. I'll be alright. I can go there now that I stare. Death in the face. I'll be alright. Doesn't it always seem like the villain Paul in the strings is a regular guy? You and me have gone bad in a good way, I promise. Kerosene wipes clean what we couldn't bear to tarnish. I'll be alright. I can go there now that I stare. Death in the face. I'll be alright. I can go there now that I stare. Death in the face. There's a conundrum in the wisdom of my spirit. You and me have gone bad in a good way, I promise.
