0.00 15.86 speaker0  This is yet another introduction to a show that you listen to called, well it's broadcast live
3476.44 3501.08 speaker3  when you lose five sanity. As you guys all know, and pretending to be people when you lose one sanity, you have to do a shot of hard liquor when you lose two to three sanity, you have to rip a bong, and then anything past that, you have to do a fat line. Ellie, if you'll open the package that we sent you.
3500.24 3504.12 speaker2  Yeah, but also guys,
3502.22 3517.80 speaker0  like being able to send cocaine.
3513.76 3529.88 speaker3  what happens is that you have a temporary break from reality in which you react in an uncontrollable way. Fight.
3529.04 3543.72 speaker0  Fight.
3541.76 3634.38 speaker3  but I think that that's really funny. So we're going to go with that. You can kind of like look at the face. I think the camera is just hitting the face of Charles Chuck, the Chuck Steer Chuck, And then the camera kind of slowly pans around until we can see what all of you are looking at, which is this corpse that is on the pool table laid out. This corpse is not the corpse of a Bigfoot, however. It's a child. It's a wrinkled corpse of a child, completely covered in dark purple bruises. Seems to be a preteen. This thing is riddled with holes from 12 gauge shotgun slugs. Blood has been pouring from these holes onto the pool table, which has a tarp down that the blood is pooling onto. And this bruised body just sits lifeless. For those of you who only lost one sanity, you see the eyes of Carl Lambert as they fill up with tears. Michael, what the fuck?
3633.54 3652.02 speaker2  For a moment. What? I want to say, hooch is in deep. Fine, I'll save that joke for later.
3650.06 3673.74 speaker4  Maybe for not this scene. Dear God. until the Carl Lambert moment. And then I was like, fuck.
3672.02 3685.02 speaker0  Maybe I'll save it for air, but I have theories of what's going on.
3682.18 3830.96 speaker2  You don't know where you found it. In this state as your eyes fall short, Water leaks through your fingers. You're standing in a swirling flood. And only darkness leads you. Find your feet on your broken bones. Clear out the edge again. You're standing in a swirling flood. You're standing in a swirling flood. You're standing in a swirling flood.
