0.00 17.16 speaker1  This is yet another introduction from your big boy Wolfie.
4349.12 4364.16 speaker5  But I figure I could chew it away, probably. Guys, two things.
4360.48 4391.44 speaker3  But then to Freddie, I love your enthusiasm. Maybe go back to your original plan of the hands, not just eating the bubble gum, because I don't think that's bubble gum. But also, why don't you use my knife?
4380.68 4396.72 speaker5  And as he slowly opens it up, he'll slide the blade just in between the window and the threshold and just kind of like, slide it along.
4395.92 4402.88 speaker2  Ah, yes.
4401.76 4429.92 speaker4  I thought you were too.
4419.04 4438.28 speaker2  And inside the house, you can hear what sounds like a creaking, groaning sound coming from deep within. And just for a moment, the wall shakes and trembles.
4437.64 4453.96 speaker3  I'm in.
4445.44 4529.32 speaker2  What I do want is not a CLIMB roll, but just the DEX roll, I think, just to see how gracefully you can do this. Because what you realize as you're clambering through is everything inside is slippery as fuck. Nice. but are now again covered with this pulsating pinkish purple stuff. I mean, despite that, you've managed to land on your feet and not slip over the floor. The floor is also covered with all of this, plus a few inches of fluid. Yeah, it is incredibly slippery. Now that you're inside and get a good look at all this.
4522.60 4582.52 speaker5  It's just a very wet, very squelchy, very slippery room. Completely normal. I rolled a sixty seven on a fifty, so that's a fail. he's going to try to slide across the room as quietly as possible to hear better, because if he's further away from the three men and the outside, he might be able to hear better. He pushes himself along the room.
4580.08 4678.08 speaker2  Yeah, you can push the roll here. membranous whatever it is. But there's a bit where you suddenly realize as you reach it that the wood underneath or the flooring underneath has rotted away. And you work this out just as your foot goes straight through it with this sort of wet ripping sound. And the next thing you know, you're up to your waist in the floor and desperately scrabbling, holding on, trying to hold on to this as this wet, slippery surface as you are falling or slipping through this hole in the floor. From down below you, you can smell this indescribable stench. There are acid acrid vapors coming up, burning your eyes and this overpowering smell like the worst septic tank you've ever smelt down below.
4677.16 4687.48 speaker4  I've got to get in there. Give me a boost. Give me a boost. You're a doctor, too. Not that kind of doctor.
4685.96 4701.04 speaker2  Coombes in through the window. Again, you know, if you're going to try to avoid just sliding around helplessly, I do want to DEX roll. Sure.
4700.60 4755.52 speaker4  Push it. But I want, yeah. When I get up, I get a hand on something firm and my hand just slips right off. And I'm kind of, I'm kind of wiggling, rolling through. And I'm going to try and restabilize myself by grabbing hold of the window frame and getting a better purchase on everything there. And then I pass. Oh, good.
4748.44 4788.44 speaker2  And certainly your fingers go through a couple of things that you hope are wooden struts and not, say, ribs. But, yeah, holding on to it, you managed to get yourself onto your feet. You can see Freddy just about five feet away from you, just slowly slipping down this hole, his fingernails digging into this wet tissue, ripping holes in it. But it's just so slippery. He's just falling down in slow motion, inch by inch.
4785.44 4829.88 speaker4  It might be the frame of the window, if it's all.
4826.36 4868.08 speaker2  Coombes' ankle, because otherwise shit is going to get real. And there's this horrible, wet squelching sound as you're pulling yourself out of this hole and more of this hideous, hideous stench coming up.
4866.44 4890.52 speaker3  Carl, help me, help me pull them out. We got to go deeper.
4884.40 4895.04 speaker2  He is absolutely covered in just slime and bits of tissue and...
4893.40 4912.80 speaker3  Or me in seventh grade.
4910.12 4917.00 speaker4  So that's a that's the that's a good pass.
4916.60 4958.64 speaker2  Yes. Yeah, you can see there is something very much about this that reminds you of the lining of the large intestine.
4957.28 4965.40 speaker4  Then maybe keep it to yourself.
4964.60 4972.60 speaker3  We got to know.
4970.72 4980.92 speaker4  It's it's it's intestine. It might have been trying to digest you in some way.
4978.04 5087.48 speaker3  It's a goddamn monster house written by Dan Harmon. This is this is a lot bigger than we thought, boys. Is there like a groundskeeping garage or home or anything? Boys, here's what I think we got to do before we get back into the house is we got to put some hobnails on our boots. So I literally just want to find nails to run through our shoes. Good point, Freddy. OK, OK, thank you. It's important to be clear when delineating a task. So, yeah, you want to take your shoes off. Step one, step two, you drive the nails through the bottom of the shoes. Step three, you got sticky shoes. So it does not want to eat us. So I don't think we want to be vomited out forcibly by this by this house. We know it just tried to eat you. You heard it groaning and creaking as it happened. Come on.
5086.96 5116.52 speaker5  Is that right?
5110.72 5139.72 speaker2  outside of the house a bit, you can find there are a couple of other outbuildings just around the back. In fact, really just around the corner from where you are now that have got all sorts of tools, a tool shed and a workshop that's obviously used for some maintenance. Rope? Rope. Hmm. I think this would be a good opportunity for a group luck roll.
5139.08 5141.64 speaker6  Well, we can't.
5141.24 5147.88 speaker3  Roll it. Roll your luck, Joe. You got it.
5145.04 5164.12 speaker4  It's a, uh, oh, it's a eighty eight.
5160.28 5170.56 speaker2  Do you think that it wouldn't stand any chance of supporting one of your weights?
5168.16 5179.92 speaker6  Yeah, I see it, too.
5176.88 5208.52 speaker2  But we'll save the luck roll on that one for when you're actually in trouble.
5207.76 5218.04 speaker4  I think it'd be handy.
5216.48 5245.88 speaker2  I won't make you make a luck roll for that. It's a workshop, there'll be screwdrivers. out by the generator. That's right. I actually, I mean, Dr. before.
5243.84 5262.24 speaker3  So I don't even mention it to the rest of the group. A cup a day keeps the doctor away. That's a joke because leaded tastes sweet and there wasn't unleaded gasoline yet. So, oh dude, that was fucking weird.
5261.48 5265.16 speaker5  Yes, it was.
5264.08 5278.00 speaker3  I just saw you guys like,
5274.96 5288.00 speaker2  your boots, what are you doing next?
5283.92 5301.24 speaker4  there any place in that house that wasn't fleshy? Was there any hardwoods anywhere? You saw what I saw.
5297.08 5350.52 speaker2  through the floor, there were at least three other doors or at least three doors rather in that room. There was one that was ajar. In fact, no, two of them were ajar, but two internal doors. One of them seemed to go deeper within the house, possibly into a corridor. And yeah, that looked almost as fleshy.
5346.68 5356.40 speaker3  Uh, what order are we in and in our hose train?
5355.88 5365.80 speaker6  Okay.
5365.52 5367.56 speaker5  Exactly.
5365.80 5381.96 speaker3  I, uh, no objections.
5380.20 5455.32 speaker2  You're, you're not going around the front. You do have to get the knife out and cut some of these strands of flesh away from the door frame, but the door itself isn't locked. And, you know, once again with a sort of squelching noise, you managed to pull it open and yeah, inside you can see what do you now reckon must be the kitchen? I mean, it's difficult to tell because, you know, every identifying bit of furniture or surface or whatever is covered in flesh. There's a sort of side door that looks like it may go to some steps down and then there's another door that's going deeper into the house. Coombs earlier. Now that the rest of you are there on the doorstep within the house, dealing with, you know, everything, the sensory overload that this is providing. I do want San rolls off the rest of you, everyone except for Freddy.
5452.60 5459.92 speaker4  I failed a 40 on a 28.
5458.56 5497.00 speaker2  So is it just Dr. Coombs who loses a D3 of San? of you are stepping in, Dr. Coombs is just there hesitating on the doorstep with the frayed hose suddenly getting pulled taut and creaking a bit. You can see some of the cracks and getting that bit longer as he's just standing there digging the nails of his shoes into this flesh.
5492.72 5503.84 speaker4  I told you guys that I think this might be a digestive tract and you guys just want to walk in.
5501.80 5514.76 speaker3  This would be the upper part of the body. I mean, essentially all the body just exists to support digestion. So, you know, we're basically just a tube from our mouth to our asshole, but.
5513.56 5532.32 speaker4  That's what they taught us, correct? Day one in medical school.
5529.32 5567.96 speaker3  property, but we got the nails in our shoes now. We can maybe, unfortunately, I think we're going to have to go up to that fucking creepy moist curtain and check out the light in that room. But it seems like we have the tools to do that now without getting sucked in by the floor. We got the hose. We're all holding hands. They're just like kernels of corn. We just go straight through, uh, unbothered.
5564.72 5580.16 speaker5  I live my life by three rules and three rules only.
5578.12 5614.24 speaker3  And you got, it's just time to live, Dr. Coombs. I love you.
5609.40 5638.44 speaker2  So you're going through into, yeah, this little corridor that's got a door on the other side, uh, and then seems to go round to your left.
5636.36 5653.52 speaker3  To the magic school bus inside the human body.
5648.96 5690.72 speaker2  getting less flashy around here, but the carpet is still very, very moist here. There's still a kind of constant, as you're walking across it and you come across and you can see, you know, in the few lights that are coming around that to your left is probably the ruins of an old conservatory round to the right is the sort of main entrance with staircases up the ruins, the front door and doorways to a couple of other interior rooms.
5689.04 5702.60 speaker4  taking our surroundings one more time around here. So if there's anything that's changed, another word for deeper in.
5699.40 5712.08 speaker2  hidden role, they'll tell you different things.
5711.56 5720.04 speaker3  Failed.
5719.68 5728.76 speaker5  Okay.
5727.96 5748.96 speaker2  the house. Uh, for a moment you thought it was like a breeze coming in through the front door, but it's not that, that the movement of the air seems to change direction on a slow, regular basis.
5748.44 5762.20 speaker3  Hmm.
5759.68 5796.84 speaker2  yeah, it's like what you heard earlier. There is a sound coming from upstairs, a sort of rasping, groaning sound. I mean, it's difficult to discern because it's so low. Uh, it's almost infrasound. It's rumbling through the house. But you, you reckon it is originating upstairs. I mean, I think we got to go upstairs to that flush curtain room.
5793.84 5799.44 speaker5  kill the sleeping occupant, you got to go up to the bedroom and kill the sleeping occupant.
5798.48 5811.04 speaker3  That's what tonight is tonight.
5807.72 5818.76 speaker4  Is that, is that the, I thought this is, we're standing on there. Okay, gotcha.
5818.40 5853.88 speaker3  Yeah. Ah, I've not heard that one. You're not from around here. Don't worry about it. Yes, I agree.
5853.72 5878.60 speaker6  Yeah.
5873.20 5900.84 speaker2  I mean, there's, you've got short corridors going off on other side, but you're fairly certain, you know, off the back of the rolls you made earlier, that the main movement of the air is coming through the double doors of what you assume is the master bedroom directly in front of you.
5896.16 5938.96 speaker5  pushing in and out through these double doors, which is likely the master bedroom. This is my whisper. So we're all keeping our voices down. So I say we push in double doors wide open. What would Neil put do is what I'm trying to say. Die. He was sleeping. All right. So we'll let's, um, let's rush in there.
5937.80 6018.12 speaker2  You rush in. There is a single flickering light in the ceiling here. Obviously the moisture has got into the works and it's just flickering on and off. But you can make out that there, again, the walls here are disturbingly fleshy. It's not the same color. It doesn't look like the same kind of tissue as you saw downstairs. It's, it's something different. It's pulsating. pulsating hole in the wall, this large hole, and you can see something worm-like moving around inside it. Huge. I mean, like larger than any one of you. entirely, but yeah, now that your mind has made the connection with the tongue, that is absolutely a tongue.
6017.08 6033.52 speaker3  Mouth to asshole. That's all we are. That's all this monster house is.
6026.96 6057.44 speaker2  particularly here at that point, you can hear this rumbling sound coming out of the hole.
6054.88 6063.24 speaker3  Are you acquainted with this goddamn monster house?
6062.84 6072.92 speaker2  Okay. So each one of you loses a D6 of sand.
6071.28 6081.64 speaker4  I rolled a big old sixers.
6080.92 6084.84 speaker5  Oh, you passed. So, so, so you still lose one.
6084.52 6093.44 speaker2  Okay. For the two of you who lost six. Can I have intelligence rolls please?
6091.56 6100.20 speaker4  Also a 65 on a 60. Dr.
6099.68 6164.88 speaker2  That's good. You're not having a bad and madness. Dr. Rothstein on the other hand is, I think, you know, that makes sense. Total sense. I heard your name. I think at that point, Dr. Rothstein in blind panic runs, just runs out of the room. Suddenly that rope that you've got is, well, rather the hose is stretched taut. And well, we've already established you're not going to pass a group luck roll here. So that's the point at which it just snaps. This frayed rubber just, just snaps completely. as he runs off somewhere within the house. You don't see where he's gone.
6163.20 6172.24 speaker3  monster house that wants to eat us.
6171.96 6173.92 speaker6  Yeah.
6173.20 6181.20 speaker5  Cause I don't know.
6178.92 6198.68 speaker3  I don't want to give Luke or the DM any ideas. We got to get them boys.
6195.60 6222.96 speaker4  the wall tongue mouth has just spoken. And he's going to kind of look wide-eyed at it and say, you, you can, you can, you can talk, you can talk.
6217.60 6240.80 speaker2  air suddenly quite fast through the room around you enough to ruffle your hair.
6240.48 6249.36 speaker4  We got it. We got to get Carl back in here. He, he could help.
6247.24 6268.24 speaker5  you know, whole house. Like Sedgwick turned Hawks into a fucking house. So let's, uh, keep talking to them, I guess. And let's get some answers.
6266.24 6272.96 speaker4  That's are you, are you Austin?
6271.68 6274.12 speaker5  about how we can help you.
6273.84 6277.72 speaker4  Yep.
6276.20 6279.16 speaker3  But you're talking so slow.
6278.80 6292.04 speaker5  Maybe.
6291.80 6303.68 speaker4  All right. We'll get them. Hang on. Hang on. Carl.
6302.64 6308.04 speaker2  Rothstein please?
6306.96 6325.60 speaker3  So I fail.
6317.92 6383.16 speaker2  you had run back out through the way you came back in, but in your panic, you have clearly forgotten about that hole in the floor. Yeah. As, as your foot just goes down through this hole and you're off balance, you've gone down, you slammed your face down into this pulsating, warm flesh at the floor. And again, you're in a very similar situation that Freddie was earlier of just beginning to slip down this hole. this dripping liquid and the sound of liquid moving around and you can give me a listen roll as well, just to see whether you can pick up something else.
6381.80 6388.36 speaker3  33 on a 20.
6386.48 6392.96 speaker2  Like I say, liquid moving around.
6391.72 6412.08 speaker3  I'm not going to spend my luck yet.
6408.68 6424.36 speaker2  I mean, yeah, maybe if you just let yourself slide down a bit further, you could push the roll and get a better listen. Yep.
6423.44 6428.64 speaker3  Oh, okay.
6427.88 6443.16 speaker5  I love you. This makes me so happy.
6437.24 6484.64 speaker2  underneath and yeah, you do actually at that point hear what it is that you were struggling to, which is just the sound of someone crying. It sounds like a little girl crying somewhere inside, somewhere down below. And, and yeah, I mean, as you strain your head down just to get a better, a better lock on where she is, that's the point at which just the remaining bit of the floor holding you up collapses and you fall down into darkness.
6481.40 6507.84 speaker5  what was down there, but I really didn't want Frederick Millen the first to fall down there and I really got the best of both worlds out of this.
6504.44 6534.12 speaker3  there or what's waiting on the other side, but it's the climb.
6532.68 6543.12 speaker5  Her godmother's Dolly Parton. Okay.
6540.24 6543.12 speaker3  I was like, are we just saying things associated with musicians? How am I the only one trying to pull over How can you have enough drowning out of the
